"Year","Scenario","Default","max","min","Unit"
2018,"SSP1-26",382658,382658,382658,"vehicles"
2018,"SSP2-26",382658,382658,382658,"vehicles"
2018,"SSP5-26",382658,382658,382658,"vehicles"
2019,"SSP1-26",1478714,2109000,1305471,"vehicles"
2019,"SSP2-26",1322182,1834405,1215885,"vehicles"
2019,"SSP5-26",1490893,1874283,1359084,"vehicles"
2020,"SSP1-26",2304791,3425522,1981644,"vehicles"
2020,"SSP2-26",2000802,2957472,1762123,"vehicles"
2020,"SSP5-26",2301303,2970849,2053600,"vehicles"
2021,"SSP1-26",3202427,4792375,2721914,"vehicles"
2021,"SSP2-26",2714845,4121585,2322676,"vehicles"
2021,"SSP5-26",3251557,4204680,2874214,"vehicles"
2022,"SSP1-26",4054449,6050727,3423968,"vehicles"
2022,"SSP2-26",3412828,5260357,2853521,"vehicles"
2022,"SSP5-26",4113364,5292704,3616597,"vehicles"
2023,"SSP1-26",4951372,7288845,4164243,"vehicles"
2023,"SSP2-26",4149749,6458354,3378981,"vehicles"
2023,"SSP5-26",5020936,6370090,4399396,"vehicles"
2024,"SSP1-26",5873869,8534778,4925994,"vehicles"
2024,"SSP2-26",4911063,7695567,3910784,"vehicles"
2024,"SSP5-26",5962718,7459627,5212080,"vehicles"
2025,"SSP1-26",6807132,9819244,5696682,"vehicles"
2025,"SSP2-26",5683315,8951188,4461490,"vehicles"
2025,"SSP5-26",6923259,8585776,6041010,"vehicles"
2026,"SSP1-26",7578066,10928039,6331664,"vehicles"
2026,"SSP2-26",6324681,9993833,4939350,"vehicles"
2026,"SSP5-26",7926243,9821102,6906808,"vehicles"
2027,"SSP1-26",8501525,12322910,7094215,"vehicles"
2027,"SSP2-26",7093489,11244977,5542571,"vehicles"
2027,"SSP5-26",8923147,11082467,7767152,"vehicles"
2028,"SSP1-26",9418463,13746145,7851276,"vehicles"
2028,"SSP2-26",7859941,12493958,6159527,"vehicles"
2028,"SSP5-26",9925431,12379388,8632064,"vehicles"
2029,"SSP1-26",10442731,15268359,8697708,"vehicles"
2029,"SSP2-26",8715209,13884384,6820790,"vehicles"
2029,"SSP5-26",11036790,13766208,9591686,"vehicles"
2030,"SSP1-26",11383070,16797799,9474132,"vehicles"
2030,"SSP2-26",9506494,15175647,7487003,"vehicles"
2030,"SSP5-26",12088836,15177182,10499616,"vehicles"
2031,"SSP1-26",12417766,18114182,10329008,"vehicles"
2031,"SSP2-26",10321676,16493464,8088025,"vehicles"
2031,"SSP5-26",13311264,16653168,11555358,"vehicles"
2032,"SSP1-26",13414214,18406113,11151975,"vehicles"
2032,"SSP2-26",11159445,17860153,8803378,"vehicles"
2032,"SSP5-26",14453471,18210120,12541294,"vehicles"
2033,"SSP1-26",14470914,18723290,12024953,"vehicles"
2033,"SSP2-26",12048218,19309184,9580165,"vehicles"
2033,"SSP5-26",15664544,19912834,13586860,"vehicles"
2034,"SSP1-26",15567092,19008522,12930641,"vehicles"
2034,"SSP2-26",12972034,20109201,10362442,"vehicles"
2034,"SSP5-26",16929498,21658035,14679006,"vehicles"
2035,"SSP1-26",16679642,19246119,13849820,"vehicles"
2035,"SSP2-26",13911024,20347420,11135552,"vehicles"
2035,"SSP5-26",18224849,23292114,15797363,"vehicles"
2036,"SSP1-26",17485184,19131109,14514081,"vehicles"
2036,"SSP2-26",14383992,19892095,11543332,"vehicles"
2036,"SSP5-26",18697098,22812372,16202322,"vehicles"
2037,"SSP1-26",18514855,19237745,15364388,"vehicles"
2037,"SSP2-26",15247166,20018615,12243670,"vehicles"
2037,"SSP5-26",19917664,23104351,17255835,"vehicles"
2038,"SSP1-26",19052189,19280904,16121204,"vehicles"
2038,"SSP2-26",16024721,20028276,12909067,"vehicles"
2038,"SSP5-26",21059153,23321979,18240768,"vehicles"
2039,"SSP1-26",18770078,19224145,16653738,"vehicles"
