"Year","Scenario","Default","max","min","Unit"
2018,"SSP1-26",0.02438250906161,0.02438250906161,0.02438250906161,"Market share"
2018,"SSP2-26",0.02438250906161,0.02438250906161,0.02438250906161,"Market share"
2018,"SSP5-26",0.02438250906161,0.02438250906161,0.02438250906161,"Market share"
2019,"SSP1-26",0.0741596398644988,0.0998628105637523,0.0654712436938959,"Market share"
2019,"SSP2-26",0.0636611413160317,0.087554315004618,0.0556968288787154,"Market share"
2019,"SSP5-26",0.0682466854838403,0.0817620222409724,0.0622130377833642,"Market share"
2020,"SSP1-26",0.123936909370942,0.175343400588736,0.106560154764756,"Market share"
2020,"SSP2-26",0.102939949252426,0.150726068232388,0.08701126119698,"Market share"
2020,"SSP5-26",0.112110969887967,0.139141637462298,0.10004380082846,"Market share"
2021,"SSP1-26",0.173714227750104,0.250823749182479,0.147649005851957,"Market share"
2021,"SSP2-26",0.142218734739425,0.213898135935521,0.118325694750991,"Market share"
2021,"SSP5-26",0.155975433304534,0.196521266785093,0.137874506604076,"Market share"
2022,"SSP1-26",0.223491467363827,0.326304236370764,0.188737824946016,"Market share"
2022,"SSP2-26",0.181497500574222,0.277069980493701,0.149640098153952,"Market share"
2022,"SSP5-26",0.199839743971245,0.253900892329495,0.175705282443828,"Market share"
2023,"SSP1-26",0.273268837313831,0.401784769315846,0.22982673377981,"Market share"
2023,"SSP2-26",0.220776389308818,0.340241880910806,0.180954542453144,"Market share"
2023,"SSP5-26",0.24370414047012,0.311280550019585,0.213536034032221,"Market share"
2024,"SSP1-26",0.323046078980643,0.47726530769734,0.270915696168392,"Market share"
2024,"SSP2-26",0.260055179071985,0.403413872294397,0.212269023918357,"Market share"
2024,"SSP5-26",0.287568449640009,0.368660264605545,0.251366822287928,"Market share"
2025,"SSP1-26",0.372823465460276,0.552745773378739,0.312004599326105,"Market share"
2025,"SSP2-26",0.299334038429664,0.466585764309133,0.243583473347055,"Market share"
2025,"SSP5-26",0.331432816203227,0.426039841470935,0.289197521053315,"Market share"
2026,"SSP1-26",0.422600698182916,0.62822621581862,0.353093470954151,"Market share"
2026,"SSP2-26",0.338612855077578,0.529757647993643,0.274897895941795,"Market share"
