"Year","Scenario","Default","max","min","Unit"
2018,"SSP1-26",1086016,1086020,1086016,"vehicles"
2018,"SSP2-26",1086016,1086016,1086020,"vehicles"
2018,"SSP5-26",1086016,1086020,1086016,"vehicles"
2019,"SSP1-26",2542789,3188210,2369546,"vehicles"
2019,"SSP2-26",2386257,2898480,2295095,"vehicles"
2019,"SSP5-26",2554968,2953493,2423159,"vehicles"
2020,"SSP1-26",4802335,6593847,4308170,"vehicles"
2020,"SSP2-26",4343799,5806110,4042590,"vehicles"
2020,"SSP5-26",4810811,5905919,4432993,"vehicles"
2021,"SSP1-26",7930870,11344468,6961768,"vehicles"
2021,"SSP2-26",6989903,9842443,6338528,"vehicles"
2021,"SSP5-26",7988327,10073055,7237432,"vehicles"
2022,"SSP1-26",11867313,17321962,10278746,"vehicles"
2022,"SSP2-26",10295484,14963161,9148296,"vehicles"
2022,"SSP5-26",11982952,15300287,10743835,"vehicles"
2023,"SSP1-26",16634590,24490541,14278376,"vehicles"
2023,"SSP2-26",14280281,21199270,12458776,"vehicles"
2023,"SSP5-26",16818451,21563354,14972957,"vehicles"
2024,"SSP1-26",22225836,32836168,18954935,"vehicles"
2024,"SSP2-26",18941255,28547129,16265685,"vehicles"
2024,"SSP5-26",22495982,28855466,19925716,"vehicles"
2025,"SSP1-26",28620311,42370679,24291305,"vehicles"
2025,"SSP2-26",24263407,36983158,20574707,"vehicles"
2025,"SSP5-26",29002327,37189658,25590707,"vehicles"
2026,"SSP1-26",35621621,52883118,30123612,"vehicles"
2026,"SSP2-26",30088012,46249318,25296145,"vehicles"
2026,"SSP5-26",36344758,46644099,31974361,"vehicles"
2027,"SSP1-26",43349130,64620686,36552038,"vehicles"
2027,"SSP2-26",36515175,56509774,30536392,"vehicles"
2027,"SSP5-26",44480753,57209186,39039769,"vehicles"
2028,"SSP1-26",51758420,77563798,43539807,"vehicles"
2028,"SSP2-26",43511287,67711541,36285607,"vehicles"
2028,"SSP5-26",53377412,68877772,46758444,"vehicles"
2029,"SSP1-26",60918372,91764727,51144513,"vehicles"
2029,"SSP2-26",51133308,79944369,42568139,"vehicles"
2029,"SSP5-26",63103074,81698902,55189916,"vehicles"
2030,"SSP1-26",70705301,107178613,59263397,"vehicles"
2030,"SSP2-26",59284367,93055446,49366987,"vehicles"
2030,"SSP5-26",73555477,95650060,64245474,"vehicles"
2031,"SSP1-26",81175631,123532459,67943727,"vehicles"
2031,"SSP2-26",67956923,107019721,56587974,"vehicles"
2031,"SSP5-26",84861949,110741568,74035843,"vehicles"
2032,"SSP1-26",92249492,139712114,77119291,"vehicles"
2032,"SSP2-26",77139668,121830782,64302152,"vehicles"
2032,"SSP5-26",96896036,126972384,84451362,"vehicles"
2033,"SSP1-26",103947247,155641133,86807294,"vehicles"
2033,"SSP2-26",86850211,137516042,72522870,"vehicles"
2033,"SSP5-26",109682669,144390602,95513870,"vehicles"
2034,"SSP1-26",116265849,171191309,97005542,"vehicles"
2034,"SSP2-26",97088456,153368521,81213652,"vehicles"
2034,"SSP5-26",123228289,162945257,107229148,"vehicles"
2035,"SSP1-26",129181062,186228511,107694159,"vehicles"
2035,"SSP2-26",107836045,168780641,90327637,"vehicles"
2035,"SSP5-26",137516997,182437413,119583617,"vehicles"
2036,"SSP1-26",142344846,200330134,118584421,"vehicles"
2036,"SSP2-26",118593238,183016921,99466285,"vehicles"
2036,"SSP5-26",151677722,200675583,131822519,"vehicles"
2037,"SSP1-26",155945096,213665125,129832642,"vehicles"
2037,"SSP2-26",129722709,196625377,108894360,"vehicles"
2037,"SSP5-26",166422742,218373022,144563500,"vehicles"
2038,"SSP1-26",169448967,226128373,141312071,"vehicles"
2038,"SSP2-26",141104078,209453837,118550020,"vehicles"
2038,"SSP5-26",181623074,235398587,157695055,"vehicles"
2039,"SSP1-26",182007585,237596160,152770049,"vehicles"
2039,"SSP2-26",152495118,221238342,128344409,"vehicles"
2039,"SSP5-26",197012427,251597684,170986855,"vehicles"
2040,"SSP1-26",193711152,248098712,164261156,"vehicles"
2040,"SSP2-26",163948121,232088371,138283281,"vehicles"
2040,"SSP5-26",212652418,266969267,184492690,"vehicles"
2041,"SSP1-26",204808741,257604274,176008915,"vehicles"
2041,"SSP2-26",175776339,242382904,148411290,"vehicles"
2041,"SSP5-26",228667617,282123490,199016086,"vehicles"
2042,"SSP1-26",215431399,266295729,187934694,"vehicles"
2042,"SSP2-26",188000949,252164520,158762480,"vehicles"
2042,"SSP5-26",244247918,296530130,214093544,"vehicles"
2043,"SSP1-26",225580387,274173341,199466680,"vehicles"
2043,"SSP2-26",200443560,261451861,169317455,"vehicles"
2043,"SSP5-26",259370481,310154992,229724756,"vehicles"
2044,"SSP1-26",235206367,281264573,210527015,"vehicles"
2044,"SSP2-26",212471270,270209544,180069639,"vehicles"
2044,"SSP5-26",273952014,322989579,245603327,"vehicles"
2045,"SSP1-26",244265027,287582417,221046562,"vehicles"
2045,"SSP2-26",223966467,278406136,190975847,"vehicles"
2045,"SSP5-26",287924000,334991513,260987576,"vehicles"
2046,"SSP1-26",253026873,293242637,231274445,"vehicles"
2046,"SSP2-26",235112208,286255608,202015869,"vehicles"
