"Year","Scenario","Default","max","min","Unit"
2018,"SSP1-26",0.00426945818967827,0.00426947378061435,0.00426945818967827,"Stock share"
2018,"SSP2-26",0.00426945818967827,0.00426945818967827,0.00426947378061435,"Stock share"
2018,"SSP5-26",0.00426945818967827,0.00426947378061435,0.00426945818967827,"Stock share"
2019,"SSP1-26",0.00986622818125978,0.0123648524451155,0.00919403114055479,"Stock share"
2019,"SSP2-26",0.00922916863722618,0.0112023498375032,0.00887658735481178,"Stock share"
2019,"SSP5-26",0.00984070582570457,0.0113749345607534,0.00933303077758785,"Stock share"
2020,"SSP1-26",0.0184674765009294,0.0253337790347971,0.016567154921732,"Stock share"
2020,"SSP2-26",0.0165982806748128,0.0221550706587028,0.0154473177679702,"Stock share"
2020,"SSP5-26",0.0182327890310476,0.0223803844131195,0.0168008733132752,"Stock share"
2021,"SSP1-26",0.0302202533971107,0.0431687500671868,0.0265275295449156,"Stock share"
2021,"SSP2-26",0.0264037891103952,0.0371032121627073,0.0239432719400862,"Stock share"
2021,"SSP5-26",0.0297385350066806,0.0374921894645037,0.0269431416229857,"Stock share"
2022,"SSP1-26",0.0448113374262485,0.0652899640824126,0.0388128597707587,"Stock share"
2022,"SSP2-26",0.0384503638605919,0.0557334664277249,0.0341659798990356,"Stock share"
2022,"SSP5-26",0.0438321803176576,0.0559520965127914,0.0392996416837451,"Stock share"
2023,"SSP1-26",0.0622502784529011,0.0914430537296649,0.0534328092969412,"Stock share"
2023,"SSP2-26",0.0527356859515503,0.0780296433191505,0.04600904551365,"Stock share"
2023,"SSP5-26",0.0604661966874379,0.0775002567605366,0.0538312219992489,"Stock share"
2024,"SSP1-26",0.0824357955199757,0.121463598092253,0.0703039992441933,"Stock share"
2024,"SSP2-26",0.069174354009579,0.10385026680307,0.0594030502336909,"Stock share"
2024,"SSP5-26",0.0795163524276004,0.101956126459185,0.0704312547470462,"Stock share"
2025,"SSP1-26",0.105219153361555,0.155288023496648,0.0893040807606981,"Stock share"
2025,"SSP2-26",0.087641507479006,0.132988679221184,0.0743176061132818,"Stock share"
2025,"SSP5-26",0.10081666312058,0.129220028242011,0.088957333275351,"Stock share"
2026,"SSP1-26",0.129960902629408,0.192269504824798,0.109902122734087,"Stock share"
2026,"SSP2-26",0.107624427925314,0.164607809029176,0.0904839806427774,"Stock share"
2026,"SSP5-26",0.124212966604955,0.159332537726716,0.109276565180298,"Stock share"
2027,"SSP1-26",0.156957909995595,0.233084493570141,0.132347093607693,"Stock share"
2027,"SSP2-26",0.129357332964774,0.199089585157969,0.1081771130357,"Stock share"
2027,"SSP5-26",0.149501688017906,0.192175327610017,0.131214310290466,"Stock share"
2028,"SSP1-26",0.185999786956183,0.27757257264642,0.156465264672266,"Stock share"
2028,"SSP2-26",0.152672256518857,0.236163123877826,0.127318814997277,"Stock share"
2028,"SSP5-26",0.176481571559091,0.227590919540971,0.154597296167965,"Stock share"
