"Technology","Size","Model_year","Scenario","Simulation","Value","Unit"
"ICEV-G","Car",1985,"Default","Baseline",1404.31063911506,"kg"
"ICEV-G","Light truck",1985,"Default","Baseline",1725.11656467259,"kg"
"ICEV-G","Car",1986,"Default","Baseline",1379.42006044695,"kg"
"ICEV-G","Light truck",1986,"Default","Baseline",1696.92897399549,"kg"
"ICEV-G","Car",1987,"Default","Baseline",1374.16431341255,"kg"
"ICEV-G","Light truck",1987,"Default","Baseline",1686.39837352304,"kg"
"ICEV-G","Car",1988,"Default","Baseline",1381.88725395155,"kg"
"ICEV-G","Light truck",1988,"Default","Baseline",1746.27029846106,"kg"
"ICEV-G","Car",1989,"Default","Baseline",1405.8580051928,"kg"
"ICEV-G","Light truck",1989,"Default","Baseline",1783.3782366955,"kg"
"ICEV-G","Car",1990,"Default","Baseline",1440.54410640275,"kg"
"ICEV-G","Light truck",1990,"Default","Baseline",1820.56691437188,"kg"
"ICEV-G","Car",1991,"Default","Baseline",1430.36890002027,"kg"
"ICEV-G","Light truck",1991,"Default","Baseline",1796.61995876615,"kg"
"ICEV-G","Car",1992,"Default","Baseline",1469.45938872789,"kg"
"ICEV-G","Light truck",1992,"Default","Baseline",1849.53286955667,"kg"
"ICEV-G","Car",1993,"Default","Baseline",1454.74632665061,"kg"
"ICEV-G","Light truck",1993,"Default","Baseline",1859.01158932204,"kg"
"ICEV-G","Car",1994,"Default","Baseline",1473.96722812198,"kg"
"ICEV-G","Light truck",1994,"Default","Baseline",1881.85087235912,"kg"
"ICEV-G","Car",1995,"Default","Baseline",1479.6783738016,"kg"
"ICEV-G","Light truck",1995,"Default","Baseline",1905.58600032785,"kg"
"ICEV-G","Car",1996,"Default","Baseline",1488.40380950132,"kg"
"ICEV-G","Light truck",1996,"Default","Baseline",1929.92667025127,"kg"
"ICEV-G","Car",1997,"Default","Baseline",1484.97535085574,"kg"
"ICEV-G","Light truck",1997,"Default","Baseline",1993.05175954394,"kg"
"ICEV-G","Car",1998,"Default","Baseline",1499.64303066242,"kg"
"ICEV-G","Light truck",1998,"Default","Baseline",1958.13557971336,"kg"
"ICEV-G","Car",1999,"Default","Baseline",1537.83296708457,"kg"
"ICEV-G","Light truck",1999,"Default","Baseline",2021.55209540982,"kg"
"ICEV-G","Car",2000,"Default","Baseline",1543.02422322293,"kg"
"ICEV-G","Light truck",2000,"Default","Baseline",2005.31834780637,"kg"
"ICEV-G","Car",2001,"Default","Baseline",1547.5247889157,"kg"
"ICEV-G","Light truck",2001,"Default","Baseline",2060.54272328698,"kg"
"ICEV-G","Car",2002,"Default","Baseline",1549.4828619815,"kg"
"ICEV-G","Light truck",2002,"Default","Baseline",2092.06159879199,"kg"
"ICEV-G","Car",2003,"Default","Baseline",1559.43746017473,"kg"
"ICEV-G","Light truck",2003,"Default","Baseline",2111.27463464554,"kg"
"ICEV-G","Car",2004,"Default","Baseline",1584.2827419078,"kg"
"ICEV-G","Light truck",2004,"Default","Baseline",2169.32668292131,"kg"
"ICEV-G","Car",2005,"Default","Baseline",1586.58235529686,"kg"
"ICEV-G","Light truck",2005,"Default","Baseline",2160.582736237,"kg"
"ICEV-G","Car",2006,"Default","Baseline",1616.44308478899,"kg"
