"Size","Age","Value","Source"
"Car",1,0.985442665999957,"VISION"
"Light truck",1,0.989069327899693,"VISION"
"Car",2,0.990687976605421,"VISION"
"Light truck",2,0.992716753520544,"VISION"
"Car",3,0.99091455216291,"VISION"
"Light truck",3,0.982959264884642,"VISION"
"Car",4,0.979957266638362,"VISION"
"Light truck",4,0.979906853176909,"VISION"
"Car",5,0.957151939965795,"VISION"
"Light truck",5,0.975969523735138,"VISION"
"Car",6,0.952045615313332,"VISION"
"Light truck",6,0.972515630748877,"VISION"
"Car",7,0.946606813924263,"VISION"
"Light truck",7,0.969300906560773,"VISION"
"Car",8,0.941945586101137,"VISION"
"Light truck",8,0.965653078143798,"VISION"
"Car",9,0.93649442521516,"VISION"
"Light truck",9,0.961994971127131,"VISION"
"Car",10,0.930982781968893,"VISION"
"Light truck",10,0.957390345256712,"VISION"
"Car",11,0.924533240449093,"VISION"
"Light truck",11,0.954706336533438,"VISION"
"Car",12,0.918989910775187,"VISION"
"Light truck",12,0.948935205341705,"VISION"
"Car",13,0.91257949977187,"VISION"
"Light truck",13,0.945532420661839,"VISION"
"Car",14,0.908896847864896,"VISION"
"Light truck",14,0.941292612850077,"VISION"
"Car",15,0.899737995242041,"VISION"
"Light truck",15,0.934918846397948,"VISION"
"Car",16,0.89972605812991,"VISION"
"Light truck",16,0.929003948590472,"VISION"
"Car",17,0.890569673945685,"VISION"
"Light truck",17,0.928790983847225,"VISION"
"Car",18,0.881382058688437,"VISION"
"Light truck",18,0.922748132984862,"VISION"
"Car",19,0.872157860312754,"VISION"
"Light truck",19,0.917432400745713,"VISION"
"Car",20,0.872200339367654,"VISION"
"Light truck",20,0.911675376443147,"VISION"
"Car",21,0.861183079811672,"VISION"
"Light truck",21,0.908307323611446,"VISION"
"Car",22,0.857480487614059,"VISION"
"Light truck",22,0.904834579390267,"VISION"
"Car",23,0.845564862238809,"VISION"
"Light truck",23,0.951553838309666,"VISION"
"Car",24,0.819875548533078,"VISION"
"Light truck",24,0.95904090432615,"VISION"
"Car",25,0.819851824112705,"VISION"
"Light truck",25,0.959039402791396,"VISION"
"Car",26,0.819893322880412,"VISION"
"Light truck",26,0.959037697162333,"VISION"
"Car",27,0.819892593980436,"VISION"
"Light truck",27,0.959036202885598,"VISION"
"Car",28,0.819892896968515,"VISION"
"Light truck",28,0.959037916397783,"VISION"
"Car",29,0.819906272321777,"VISION"
"Light truck",29,0.959037370153736,"VISION"
"Car",30,0.819909665552322,"VISION"
"Light truck",30,0.959035455890508,"VISION"
"Car",1,0.997,"TEDB"
"Light truck",1,0.991,"TEDB"
"Car",2,0.996990973,"TEDB"
"Light truck",2,0.990918264,"TEDB"
"Car",3,0.996981891,"TEDB"
"Light truck",3,0.990835031,"TEDB"
"Car",4,0.992936428,"TEDB"
"Light truck",4,0.98663926,"TEDB"
"Car",5,0.989837398,"TEDB"
"Light truck",5,0.980208333,"TEDB"
"Car",6,0.986652977,"TEDB"
"Light truck",6,0.976620616,"TEDB"
"Car",7,0.980228928,"TEDB"
"Light truck",7,0.9695321,"TEDB"
"Car",8,0.976645435,"TEDB"
"Light truck",8,0.964085297,"TEDB"
"Car",9,0.970652174,"TEDB"
"Light truck",9,0.958090803,"TEDB"
"Car",10,0.965285554,"TEDB"
"Light truck",10,0.952612394,"TEDB"
"Car",11,0.958236659,"TEDB"
"Light truck",11,0.945153061,"TEDB"
"Car",12,0.953995157,"TEDB"
"Light truck",12,0.940620783,"TEDB"
"Car",13,0.911167513,"TEDB"
"Light truck",13,0.934002869,"TEDB"
"Car",14,0.853760446,"TEDB"
"Light truck",14,0.929339478,"TEDB"
"Car",15,0.831973899,"TEDB"
"Light truck",15,0.914049587,"TEDB"
"Car",16,0.81372549,"TEDB"
"Light truck",16,0.907775769,"TEDB"
"Car",17,0.8,"TEDB"
"Light truck",17,0.902390438,"TEDB"
"Car",18,0.786144578,"TEDB"
"Light truck",18,0.898454746,"TEDB"
"Car",19,0.777777778,"TEDB"
"Light truck",19,0.894348894,"TEDB"
"Car",20,0.773399015,"TEDB"
"Light truck",20,0.89010989,"TEDB"
"Car",21,0.76433121,"TEDB"
"Light truck",21,0.888888889,"TEDB"
"Car",22,0.766666667,"TEDB"
"Light truck",22,0.885416667,"TEDB"
"Car",23,0.760869565,"TEDB"
"Light truck",23,0.882352941,"TEDB"
"Car",24,0.757142857,"TEDB"
"Light truck",24,0.88,"TEDB"
"Car",25,0.754716981,"TEDB"
"Light truck",25,0.878787879,"TEDB"
"Car",26,0.75,"TEDB"
"Light truck",26,0.879310345,"TEDB"
"Car",27,0.766666667,"TEDB"
"Light truck",27,0.869281046,"TEDB"
"Car",28,0.565217391,"TEDB"
"Light truck",28,0.879699248,"TEDB"
"Car",29,0.769230769,"TEDB"
"Light truck",29,0.871794872,"TEDB"
"Car",30,0.7,"TEDB"
"Light truck",30,0.87254902,"TEDB"
