"Technology","Year","Scenario","Value","Unit"
"CNG",2019,"SSP1",244940,"Vehicles"
"EV",2019,"SSP1",1871684,"Vehicles"
"FCV",2019,"SSP1",16054,"Vehicles"
"FFV",2019,"SSP1",19135952,"Vehicles"
"HEV",2019,"SSP1",5170860,"Vehicles"
"ICEV-D",2019,"SSP1",1263997,"Vehicles"
"ICEV-G",2019,"SSP1",230023072,"Vehicles"
"CNG",2020,"SSP1",257574,"Vehicles"
"EV",2020,"SSP1",2662152,"Vehicles"
"FCV",2020,"SSP1",22121,"Vehicles"
"FFV",2020,"SSP1",19380344,"Vehicles"
"HEV",2020,"SSP1",5597834,"Vehicles"
"ICEV-D",2020,"SSP1",1303211,"Vehicles"
"ICEV-G",2020,"SSP1",230819599,"Vehicles"
"CNG",2021,"SSP1",268733,"Vehicles"
"EV",2021,"SSP1",3506058,"Vehicles"
"FCV",2021,"SSP1",28022,"Vehicles"
"FFV",2021,"SSP1",19575693,"Vehicles"
"HEV",2021,"SSP1",6000377,"Vehicles"
"ICEV-D",2021,"SSP1",1339547,"Vehicles"
"ICEV-G",2021,"SSP1",231717161,"Vehicles"
"CNG",2022,"SSP1",278515,"Vehicles"
"EV",2022,"SSP1",4572272,"Vehicles"
"FCV",2022,"SSP1",33667,"Vehicles"
"FFV",2022,"SSP1",19721539,"Vehicles"
"HEV",2022,"SSP1",6370454,"Vehicles"
"ICEV-D",2022,"SSP1",1372112,"Vehicles"
"ICEV-G",2022,"SSP1",232479802,"Vehicles"
"CNG",2023,"SSP1",287363,"Vehicles"
"EV",2023,"SSP1",5971004,"Vehicles"
"FCV",2023,"SSP1",39102,"Vehicles"
"FFV",2023,"SSP1",19838264,"Vehicles"
"HEV",2023,"SSP1",6715666,"Vehicles"
"ICEV-D",2023,"SSP1",1402332,"Vehicles"
"ICEV-G",2023,"SSP1",232967401,"Vehicles"
"CNG",2024,"SSP1",295334,"Vehicles"
"EV",2024,"SSP1",7515071,"Vehicles"
"FCV",2024,"SSP1",44330,"Vehicles"
"FFV",2024,"SSP1",19934011,"Vehicles"
"HEV",2024,"SSP1",7036634,"Vehicles"
"ICEV-D",2024,"SSP1",1430215,"Vehicles"
"ICEV-G",2024,"SSP1",233358300,"Vehicles"
"CNG",2025,"SSP1",302465,"Vehicles"
"EV",2025,"SSP1",9294562,"Vehicles"
"FCV",2025,"SSP1",49345,"Vehicles"
"FFV",2025,"SSP1",20010203,"Vehicles"
"HEV",2025,"SSP1",7334882,"Vehicles"
