"Age","Value","Year","Size","Technology","Scenario","rel_value"
0,18431,2019,"Car","BEV100","SSP1,2 and 5",0.0228216872273588
0,541530,2019,"Car","BEV300","SSP1,2 and 5",0.670534875168553
0,36873,2019,"Car","PHEV20","SSP1,2 and 5",0.045656994907189
0,136771,2019,"Car","PHEV40","SSP1,2 and 5",0.169352991360918
0,6755,2019,"Light truck","BEV100","SSP1,2 and 5",0.00836419604041064
0,16778,2019,"Light truck","BEV300","SSP1,2 and 5",0.0207749046877883
0,31213,2019,"Light truck","PHEV20","SSP1,2 and 5",0.0386486529991617
0,19258,2019,"Light truck","PHEV40","SSP1,2 and 5",0.02384569760862
0,17190,2020,"Car","BEV100","SSP1,2 and 5",0.0207705022619186
0,577219,2020,"Car","BEV300","SSP1,2 and 5",0.697447850210726
0,34390,2020,"Car","PHEV20","SSP1,2 and 5",0.0415530874221861
0,127561,2020,"Car","PHEV40","SSP1,2 and 5",0.154130659629587
0,6300,2020,"Light truck","BEV100","SSP1,2 and 5",0.00761222595986545
0,17884,2020,"Light truck","BEV300","SSP1,2 and 5",0.0216090554073387
0,29111,2020,"Light truck","PHEV20","SSP1,2 and 5",0.0351745253837529
0,17961,2020,"Light truck","PHEV40","SSP1,2 and 5",0.0217020937246259
0,17041,2021,"Car","BEV100","SSP1,2 and 5",0.019057449694752
0,643747,2021,"Car","BEV300","SSP1,2 and 5",0.719921135417377
0,34092,2021,"Car","PHEV20","SSP1,2 and 5",0.0381260826825589
0,126456,2021,"Car","PHEV40","SSP1,2 and 5",0.141419450654279
0,6245,2021,"Light truck","BEV100","SSP1,2 and 5",0.00698396651274728
0,19945,2021,"Light truck","BEV300","SSP1,2 and 5",0.0223050779978774
0,28859,2021,"Light truck","PHEV20","SSP1,2 and 5",0.0322738654269614
0,17806,2021,"Light truck","PHEV40","SSP1,2 and 5",0.0199129716134472
0,16769,2022,"Car","BEV100","SSP1,2 and 5",0.0147890038037434
0,879807,2022,"Car","BEV300","SSP1,2 and 5",0.775923970991716
0,33547,2022,"Car","PHEV20","SSP1,2 and 5",0.0295859449343539
0,124436,2022,"Car","PHEV40","SSP1,2 and 5",0.109743245114355
0,6146,2022,"Light truck","BEV100","SSP1,2 and 5",0.00542031232499297
0,27259,2022,"Light truck","BEV300","SSP1,2 and 5",0.0240403992299029
0,28398,2022,"Light truck","PHEV20","SSP1,2 and 5",0.0250449120411894
0,17521,2022,"Light truck","PHEV40","SSP1,2 and 5",0.0154522115597465
0,16748,2023,"Car","BEV100","SSP1,2 and 5",0.011203514912154
0,1230231,2023,"Car","BEV300","SSP1,2 and 5",0.822958643055533
0,33507,2023,"Car","PHEV20","SSP1,2 and 5",0.0224143882351052
0,124284,2023,"Car","PHEV40","SSP1,2 and 5",0.0831393388668583
0,6138,2023,"Light truck","BEV100","SSP1,2 and 5",0.0041059932249105
0,38117,2023,"Light truck","BEV300","SSP1,2 and 5",0.0254982313056229
0,28363,2023,"Light truck","PHEV20","SSP1,2 and 5",0.018973327767699
0,17500,2023,"Light truck","PHEV40","SSP1,2 and 5",0.0117065626321169
0,16810,2024,"Car","BEV100","SSP1,2 and 5",0.00999248631605979
0,1411164,2024,"Car","BEV300","SSP1,2 and 5",0.838848123718988
0,33630,2024,"Car","PHEV20","SSP1,2 and 5",0.0199909170023254
0,124743,2024,"Car","PHEV40","SSP1,2 and 5",0.0741518572590271
0,6161,2024,"Light truck","BEV100","SSP1,2 and 5",0.00366232648383369
