"Technology","Year","Scenario","Value","rel_value"
"BEV100",2019,"SSP1,2 and 5",237898,0.138945558464799
"BEV300",2019,"SSP1,2 and 5",729424,0.426023863326416
"PHEV20",2019,"SSP1,2 and 5",307152,0.179393715683108
"PHEV40",2019,"SSP1,2 and 5",437693,0.255636862525677
"BEV100",2020,"SSP1,2 and 5",253760,0.111211958791622
"BEV300",2020,"SSP1,2 and 5",1090331,0.477844602148596
"PHEV20",2020,"SSP1,2 and 5",362893,0.159040200826639
"PHEV40",2020,"SSP1,2 and 5",574785,0.251903238233143
"BEV100",2021,"SSP1,2 and 5",267881,0.0887106308306374
"BEV300",2021,"SSP1,2 and 5",1627766,0.539045877477923
"PHEV20",2021,"SSP1,2 and 5",416042,0.137775162374487
"PHEV40",2021,"SSP1,2 and 5",708028,0.234468329316953
"BEV100",2022,"SSP1,2 and 5",280149,0.0716564529532718
"BEV300",2022,"SSP1,2 and 5",2328219,0.595511371585883
"PHEV20",2022,"SSP1,2 and 5",466142,0.119229703809559
"PHEV40",2022,"SSP1,2 and 5",835103,0.213602471651286
"BEV100",2023,"SSP1,2 and 5",291257,0.0587835201813859
"BEV300",2023,"SSP1,2 and 5",3193157,0.644465228138152
"PHEV20",2023,"SSP1,2 and 5",513859,0.103710609176386
"PHEV40",2023,"SSP1,2 and 5",956466,0.193040642504075
"BEV100",2024,"SSP1,2 and 5",301263,0.0475521373862053
"BEV300",2024,"SSP1,2 and 5",4402904,0.694965846805857
"PHEV20",2024,"SSP1,2 and 5",559278,0.0882778976943141
"PHEV40",2024,"SSP1,2 and 5",1071980,0.169204118113623
"BEV100",2025,"SSP1,2 and 5",310249,0.0385459656997572
"BEV300",2025,"SSP1,2 and 5",5954509,0.739800288390601
"PHEV20",2025,"SSP1,2 and 5",602404,0.0748438961008627
"PHEV40",2025,"SSP1,2 and 5",1181644,0.146809849808779
"BEV100",2026,"SSP1,2 and 5",317762,0.031096392436038
"BEV300",2026,"SSP1,2 and 5",7976784,0.780613181064788
"PHEV20",2026,"SSP1,2 and 5",641869,0.0628137106278513
"PHEV40",2026,"SSP1,2 and 5",1282198,0.125476715871322
"BEV100",2027,"SSP1,2 and 5",324392,0.0248430841780114
"BEV300",2027,"SSP1,2 and 5",10677565,0.817725610098856
"PHEV20",2027,"SSP1,2 and 5",679010,0.0520009821071774
"PHEV40",2027,"SSP1,2 and 5",1376671,0.105430323615956
"BEV100",2028,"SSP1,2 and 5",330229,0.0201734717340845
"BEV300",2028,"SSP1,2 and 5",13860616,0.846735886590817
"PHEV20",2028,"SSP1,2 and 5",713813,0.0436063652160229
"PHEV40",2028,"SSP1,2 and 5",1464810,0.0894842764590761
"BEV100",2029,"SSP1,2 and 5",335503,0.016474251907473
"BEV300",2029,"SSP1,2 and 5",17734912,0.870839926453312
"PHEV20",2029,"SSP1,2 and 5",746881,0.0366742048175585
"PHEV40",2029,"SSP1,2 and 5",1547999,0.0760116168216566
"BEV100",2030,"SSP1,2 and 5",340159,0.0137108045213865
"BEV300",2030,"SSP1,2 and 5",22066770,0.889446317423309
"PHEV20",2030,"SSP1,2 and 5",777691,0.0313464270504134
"PHEV40",2030,"SSP1,2 and 5",1624938,0.0654964510048909
"BEV100",2031,"SSP1,2 and 5",344479,0.0115175996140015
"BEV300",2031,"SSP1,2 and 5",27060776,0.904772666003386
"PHEV20",2031,"SSP1,2 and 5",806744,0.0269733550753399
"PHEV40",2031,"SSP1,2 and 5",1696924,0.0567363793072723
"BEV100",2032,"SSP1,2 and 5",348267,0.00982845699628512
"BEV300",2032,"SSP1,2 and 5",32488887,0.916870185049594
"PHEV20",2032,"SSP1,2 and 5",833859,0.0235323683336788
"PHEV40",2032,"SSP1,2 and 5",1763542,0.0497689896204425
"BEV100",2033,"SSP1,2 and 5",351728,0.00845884877619317
"BEV300",2033,"SSP1,2 and 5",38544514,0.926972589836068
"PHEV20",2033,"SSP1,2 and 5",859299,0.0206656288226528
"PHEV40",2033,"SSP1,2 and 5",1825531,0.0439029325650863
"BEV100",2034,"SSP1,2 and 5",355019,0.00737278463313139
"BEV300",2034,"SSP1,2 and 5",45030813,0.935168219458151
"PHEV20",2034,"SSP1,2 and 5",883329,0.0183443547449554
"PHEV40",2034,"SSP1,2 and 5",1883473,0.0391146411637627
"BEV100",2035,"SSP1,2 and 5",358204,0.006474247153053
"BEV300",2035,"SSP1,2 and 5",52125616,0.942128287202638
"PHEV20",2035,"SSP1,2 and 5",906067,0.0163764271064122
"PHEV40",2035,"SSP1,2 and 5",1937627,0.0350210385378963
"BEV100",2036,"SSP1,2 and 5",360857,0.005753166200813
"BEV300",2036,"SSP1,2 and 5",59450638,0.947825319055384
"PHEV20",2036,"SSP1,2 and 5",926360,0.0147690166514301
"PHEV40",2036,"SSP1,2 and 5",1985346,0.0316524980923725
"BEV100",2037,"SSP1,2 and 5",363372,0.00514496124989206
"BEV300",2037,"SSP1,2 and 5",67289303,0.952745000900579
"PHEV20",2037,"SSP1,2 and 5",945154,0.0133823759265449
"PHEV40",2037,"SSP1,2 and 5",2028942,0.0287276619229839
"BEV100",2038,"SSP1,2 and 5",365483,0.0046407784680719
"BEV300",2038,"SSP1,2 and 5",75359086,0.956883969110405
"PHEV20",2038,"SSP1,2 and 5",962206,0.0122177635803843
"PHEV40",2038,"SSP1,2 and 5",2067900,0.0262574888411386
"BEV100",2039,"SSP1,2 and 5",367052,0.00422209829952912
"BEV300",2039,"SSP1,2 and 5",83491285,0.960377310092307
"PHEV20",2039,"SSP1,2 and 5",976928,0.011237334349254
"PHEV40",2039,"SSP1,2 and 5",2100655,0.0241632572589098
"BEV100",2040,"SSP1,2 and 5",368446,0.00387030801074324
"BEV300",2040,"SSP1,2 and 5",91711076,0.963370784637863
"PHEV20",2040,"SSP1,2 and 5",989979,0.0103991457477285
"PHEV40",2040,"SSP1,2 and 5",2128607,0.0223597616036655
"BEV100",2041,"SSP1,2 and 5",370037,0.00358880395427254
"BEV300",2041,"SSP1,2 and 5",99581779,0.965793913172721
"PHEV20",2041,"SSP1,2 and 5",1002627,0.00972397825693219
"PHEV40",2041,"SSP1,2 and 5",2154282,0.020893304616074
"BEV100",2042,"SSP1,2 and 5",371933,0.00335881116400837
"BEV300",2042,"SSP1,2 and 5",107167167,0.967793330881501
"PHEV20",2042,"SSP1,2 and 5",1015513,0.00917078183865275
"PHEV40",2042,"SSP1,2 and 5",2178912,0.0196770761158375
"BEV100",2043,"SSP1,2 and 5",374127,0.00316912187132789
"BEV300",2043,"SSP1,2 and 5",114448882,0.969463457850477
"PHEV20",2043,"SSP1,2 and 5",1028189,0.00870949235890154
"PHEV40",2043,"SSP1,2 and 5",2202640,0.0186579279192939
"BEV100",2044,"SSP1,2 and 5",376612,0.00301243553115445
"BEV300",2044,"SSP1,2 and 5",121375850,0.970858398468644
"PHEV20",2044,"SSP1,2 and 5",1040917,0.00832606331126649
"PHEV40",2044,"SSP1,2 and 5",2225728,0.0178031026889354
