"Size","Technology","Model_year","Sector","Phase","Lcia_method","Unit","Value","Scenario","Sens_analysis"
"Car","BEV100",2018,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",3186.84039467558,"","Default"
"Light truck","BEV100",2018,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",2273.68421068228,"","Default"
"Car","BEV300",2018,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",6744.08109667536,"","Default"
"Light truck","BEV300",2018,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",8111.29698713256,"","Default"
"Car","BEV100",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",2596.41367089928,"SSP1","Default"
"Light truck","BEV100",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",1859.16605177793,"SSP1","Default"
"Car","BEV300",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",5424.46713566735,"SSP1","Default"
"Light truck","BEV300",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",6529.17846769646,"SSP1","Default"
"Car","BEV100",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Light truck","BEV100",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Car","BEV300",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Light truck","BEV300",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Car","ICEV-G",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Light truck","ICEV-G",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP1","Default"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP1","Default"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP1","Default"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP1","Default"
"Car","ICEV-G",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Light truck","ICEV-G",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"","Default"
"Car","BEV100",2018,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",18297.3763677011,"","Default"
"Light truck","BEV100",2018,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",29172.2381002614,"","Default"
"Car","BEV300",2018,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",25541.1183933531,"","Default"
"Light truck","BEV300",2018,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",36430.4156091302,"","Default"
"Car","ICEV-G",2018,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",13933.2640405776,"","Default"
"Light truck","ICEV-G",2018,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",19882.0574873269,"","Default"
"Car","BEV100",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",14538.8718276692,"SSP1","Default"
"Light truck","BEV100",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",23750.2312347722,"SSP1","Default"
"Car","BEV300",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",19393.1601108507,"SSP1","Default"
"Light truck","BEV300",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",28816.8162953759,"SSP1","Default"
"Car","ICEV-G",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",13906.8046796215,"","Default"
"Light truck","ICEV-G",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",19646.7819913876,"","Default"
"Car","ICEV-G",2018,"Transportation","Fuel Use","ipcc_2013","kg CO2 eq",52204.0530551416,"","Default"
"Light truck","ICEV-G",2018,"Transportation","Fuel Use","ipcc_2013","kg CO2 eq",74492.5224190874,"","Default"
"Car","ICEV-G",2030,"Transportation","Fuel Use","ipcc_2013","kg CO2 eq",52104.9172116569,"","Default"
"Light truck","ICEV-G",2030,"Transportation","Fuel Use","ipcc_2013","kg CO2 eq",73611.0107763868,"","Default"
"Car","BEV100",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1355.24326183101,"","Default"
"Light truck","BEV100",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1592.56717432925,"","Default"
"Car","BEV300",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1370.69681055713,"","Default"
"Light truck","BEV300",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1626.97956321217,"","Default"
"Car","ICEV-G",2018,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1621.35571157073,"","Default"
