"Year","Unit","Scenario","Default","max","min"
2015,"kg CO2 eq","SSP1",1490449106913.67,1556752013736.25,1480200586818.47
2015,"kg CO2 eq","SSP2",1490467201978.69,1556767304801.95,1480217842733.08
2015,"kg CO2 eq","SSP5",1490467695668.23,1556767721989.68,1480218313528
2016,"kg CO2 eq","SSP1",1472390040986.79,1535072762105.1,1461797708527.56
2016,"kg CO2 eq","SSP2",1472413764289.56,1535092480305.81,1461820103939.48
2016,"kg CO2 eq","SSP5",1472412959730.66,1535091811577.09,1461819344415.06
2017,"kg CO2 eq","SSP1",1523457844217.91,1582777824491.88,1513179429807.93
2017,"kg CO2 eq","SSP2",1523488543397.84,1582803332859.64,1513208445791.89
2017,"kg CO2 eq","SSP5",1523485998050.8,1582801217896.03,1513206040002.91
2018,"kg CO2 eq","SSP1",1516995464925.77,1575395506523.31,1505263852967.87
2018,"kg CO2 eq","SSP2",1517047790592.04,1575439329032.08,1505313624883.13
2018,"kg CO2 eq","SSP5",1517041353032.01,1575433937604.67,1505307501507.83
2019,"kg CO2 eq","SSP1",1555680565105.33,1632976649639.11,1540205769982.59
2019,"kg CO2 eq","SSP2",1566020925699.76,1646065168327.35,1550008966038.32
2019,"kg CO2 eq","SSP5",1579323289697.65,1659314127432.59,1562619439857.21
2020,"kg CO2 eq","SSP1",1553839467949.58,1626872952190.57,1538482202739.17
2020,"kg CO2 eq","SSP2",1569612699335.78,1645802257192.25,1553701934148.39
2020,"kg CO2 eq","SSP5",1589918615160.29,1664959759911.45,1573298755923.16
2021,"kg CO2 eq","SSP1",1559632073572.1,1630320388487.6,1543662539704.93
2021,"kg CO2 eq","SSP2",1578386620478.52,1652066663883.5,1561975451033.31
2021,"kg CO2 eq","SSP5",1613672739872.68,1686724170988.6,1596113442368.21
2022,"kg CO2 eq","SSP1",1565204880216.47,1632887825796.89,1548746381125.36
2022,"kg CO2 eq","SSP2",1588020857477.97,1659022626575.64,1571105771443.57
2022,"kg CO2 eq","SSP5",1634480709105.24,1703823839543.89,1616389503289.59
2023,"kg CO2 eq","SSP1",1572882716738.27,1636416986196.95,1555674766793.73
2023,"kg CO2 eq","SSP2",1599704088041.75,1666859959062.88,1582016764542.05
2023,"kg CO2 eq","SSP5",1657165841203.99,1721641680613.85,1638268116119.79
2024,"kg CO2 eq","SSP1",1582210355739.58,1641448565084.59,1564175192966.76
2024,"kg CO2 eq","SSP2",1613038365981.33,1676143843024.48,1594489195252.23
2024,"kg CO2 eq","SSP5",1681465825322.05,1740791445333.24,1661652249447.85
2025,"kg CO2 eq","SSP1",1592466621171.97,1647929191805.74,1573576424283.03
2025,"kg CO2 eq","SSP2",1627259621805.96,1686806595158.5,1607816668931.73
2025,"kg CO2 eq","SSP5",1706508363203.07,1761143962534.97,1685734500773.41
2026,"kg CO2 eq","SSP1",1598951852884.13,1650936574513.02,1579505535729.48
2026,"kg CO2 eq","SSP2",1637574047894.36,1693746254840.2,1617538741172.89
2026,"kg CO2 eq","SSP5",1733530314295.53,1784947208520.56,1711771537090.99
2027,"kg CO2 eq","SSP1",1608435501381.79,1658907813141.65,1588141872036.06
2027,"kg CO2 eq","SSP2",1650892460494.57,1705477210531.92,1629963952001.45
2027,"kg CO2 eq","SSP5",1760696358727.82,1809432094488.26,1737939178762.03
2028,"kg CO2 eq","SSP1",1618379268644.96,1668067002468.43,1597243608061.84
2028,"kg CO2 eq","SSP2",1664650879287.03,1718579921153.57,1642829585210.28
2028,"kg CO2 eq","SSP5",1788179295689.09,1834924862598.22,1764414076414.64
2029,"kg CO2 eq","SSP1",1630258074788.26,1679163411479.45,1608077577731.58
2029,"kg CO2 eq","SSP2",1680334439079.77,1733649480519.33,1657412189542.35
2029,"kg CO2 eq","SSP5",1817489170064.01,1862210636226.44,1792491707576.14
2030,"kg CO2 eq","SSP1",1641888293952.09,1691267250236.74,1618742249792.73
2030,"kg CO2 eq","SSP2",1695669503666.03,1749722987563.53,1671814090666.73
2030,"kg CO2 eq","SSP5",1846356198526.35,1890379549251.07,1820276895677.77
2031,"kg CO2 eq","SSP1",1654469245447.32,1702941721059.86,1629915897949.81
2031,"kg CO2 eq","SSP2",1710579388927.33,1763796223177.33,1685497901329.49
2031,"kg CO2 eq","SSP5",1877455336689.74,1919814814967.21,1849910031165.89
2032,"kg CO2 eq","SSP1",1666963625390.94,1716870930083.45,1641184741392.02
2032,"kg CO2 eq","SSP2",1726183467072.08,1781087568030.62,1699800845734.69
2032,"kg CO2 eq","SSP5",1907799164451.52,1950992322904.55,1878974448099.41
2033,"kg CO2 eq","SSP1",1680469105103.35,1732941984375.13,1653407234615.36
2033,"kg CO2 eq","SSP2",1742818234736.93,1800765621028.69,1715072275204.18
2033,"kg CO2 eq","SSP5",1939155270835.38,1984810606118.63,1908943659759.33
2034,"kg CO2 eq","SSP1",1694929768403.48,1750203505352.9,1666554890545.29
2034,"kg CO2 eq","SSP2",1760440649125.08,1821744268719.4,1731295238756.14
2034,"kg CO2 eq","SSP5",1971503425675.01,2020112848681.04,1939831350368.52
2035,"kg CO2 eq","SSP1",1709959734368.94,1768277254525.93,1680233836058.14
2035,"kg CO2 eq","SSP2",1778662270557.12,1843592871984.72,1748076791409.89
2035,"kg CO2 eq","SSP5",2004433306022.63,2056498875356.64,1971246186759.72
2036,"kg CO2 eq","SSP1",1722081712615.93,1782843400065.33,1691302348411.38
2036,"kg CO2 eq","SSP2",1790173809799.72,1857177452422.07,1758466793533.3
