"Sector","Phase","Year","Unit","Scenario","Sens_analysis","Value"
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP1","Default",2114662529610.79
"Energy","Fuel Production",2050,"kg CO2 eq","SSP1","Default",13177394602906.9
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP1","Default",25821060303991
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP1","Default",3191245705505.71
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP2","Default",1967507233080.41
"Energy","Fuel Production",2050,"kg CO2 eq","SSP2","Default",13988515047837.2
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP2","Default",29475555594969.3
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP2","Default",3363861356814.46
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP5","Default",2515339843072.61
"Energy","Fuel Production",2050,"kg CO2 eq","SSP5","Default",13042837612642.1
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP5","Default",29490312439045.2
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP5","Default",3859883360186.82
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP1","max",5473997760756.04
"Energy","Fuel Production",2050,"kg CO2 eq","SSP1","max",14991924286667.4
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP1","max",21429639514177.4
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP1","max",3319305677880.35
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP2","max",5497989780767.94
"Energy","Fuel Production",2050,"kg CO2 eq","SSP2","max",16118179969963.9
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP2","max",23750612577142.6
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP2","max",3484393706598.07
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP5","max",6268095252212.64
"Energy","Fuel Production",2050,"kg CO2 eq","SSP5","max",14293115490460.1
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP5","max",25372229176549.5
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP5","max",3982837759678.85
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP1","min",656900506467.957
"Energy","Fuel Production",2050,"kg CO2 eq","SSP1","min",12247639894323.1
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP1","min",28247549491834.4
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP1","min",3130145813760.76
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP2","min",568158287047.97
"Energy","Fuel Production",2050,"kg CO2 eq","SSP2","min",13103052408147.7
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP2","min",32718919959142.5
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP2","min",3326428613519.64
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP5","min",790760388836.275
"Energy","Fuel Production",2050,"kg CO2 eq","SSP5","min",12367574845302.2
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP5","min",31914460061084.6
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP5","min",3779355227410.71
