"Material","Year","Unit","Scenario","Default","max","min"
"Cobalt",2050,"kg","SSP1-26",6082610700.75122,8037682219.13247,4168400697.62823
"Cobalt",2050,"kg","SSP2-26",5655379985.74545,8071157548.72506,3599155556.39948
"Cobalt",2050,"kg","SSP5-26",7235409285.62274,9202415187.762,5018437444.05135
"Lithium",2050,"kg","SSP1-26",4180617881.01167,5524351246.5864,2864968900.53705
"Lithium",2050,"kg","SSP2-26",3886979432.92721,5547359058.25685,2473723013.99593
"Lithium",2050,"kg","SSP5-26",4972943843.36919,6324879788.49277,3449204682.90836
"Manganese",2050,"kg","SSP1-26",6515737778.51369,8610024915.85088,4465221799.93613
"Manganese",2050,"kg","SSP2-26",6058085062.1298,8645883937.64356,3855442174.96663
"Manganese",2050,"kg","SSP5-26",7750624188.31414,9857695526.20945,5375787478.76708
"Nickel",2050,"kg","SSP1-26",19396560438.928,25630999026.9549,13292423277.2665
"Nickel",2050,"kg","SSP2-26",18034183855.4731,25737746982.0025,11477183353.2244
"Nickel",2050,"kg","SSP5-26",23072667381.3976,29345162982.6466,16003066772.0523
