"Scenario","Sens_attribute_description","min","def","max","delta","Unit"
"SSP1-26","2018MY vehicle curb weight",281565054,282376464,283480539,-1915485,"Vehicles"
"SSP2-26","2018MY vehicle curb weight",272616595,273750607,275204893,-2588298,"Vehicles"
"SSP5-26","2018MY vehicle curb weight",349783532,350715831,352162898,-2379366,"Vehicles"
"SSP1-26","2018MY EV battery size",279240702,282376464,284227249,-4986547,"Vehicles"
"SSP2-26","2018MY EV battery size",269015927,273750607,276263766,-7247839,"Vehicles"
"SSP5-26","2018MY EV battery size",346207034,350715831,353303354,-7096320,"Vehicles"
"SSP1-26","2018MY EV fuel consumption",276882071,282376464,287435548,-10553477,"Vehicles"
"SSP2-26","2018MY EV fuel consumption",265043959,273750607,281652301,-16608342,"Vehicles"
"SSP5-26","2018MY EV fuel consumption",345526789,350715831,355936415,-10409626,"Vehicles"
"SSP1-26","GCAM stock adjustment",282376464,282376464,286602653,-4226189,"Vehicles"
"SSP2-26","GCAM stock adjustment",273750607,273750607,281014591,-7263984,"Vehicles"
"SSP5-26","GCAM stock adjustment",350715831,350715831,351525087,-809256,"Vehicles"
"SSP1-26","Survival rate distribution",282376464,282376464,286163049,-3786585,"Vehicles"
"SSP2-26","Survival rate distribution",273080989,273750607,273750607,-669618,"Vehicles"
"SSP5-26","Survival rate distribution",350715831,350715831,353274115,-2558284,"Vehicles"
"SSP1-26","EV battery emission factor",274017943,282376464,295502438,-21484495,"Vehicles"
"SSP2-26","EV battery emission factor",261664384,273750607,292808291,-31143907,"Vehicles"
"SSP5-26","EV battery emission factor",339420798,350715831,369158051,-29737253,"Vehicles"
