"Technology","Year","Scenario","Stock (vehicle)","Stock (%)","2050 travel demand (% of 2018)"
"PEV",2050,"SSP1-26",246798295,0.782786342795989,1.15559166687312
"PEV",2050,"SSP2-26",199210376,0.603690824974699,1.20949162673922
"PEV",2050,"SSP5-26",307231319,0.765569550962506,1.47091074262576
"PEV",2050,"SSP1-26",225415145,0.714964114273645,1.07723941082551
"PEV",2050,"SSP2-26",163618897,0.495833735166829,1.12748500605332
"PEV",2050,"SSP5-26",280919507,0.700004949281896,1.37117906235149
"PEV",2050,"SSP1-26",195224800,0.619207395705893,1.00405810658461
"PEV",2050,"SSP2-26",124468261,0.377190920601926,1.05089030822059
"PEV",2050,"SSP5-26",249071788,0.620645687009538,1.27802924500646
"PEV",2050,"SSP1-26",162105891,0.514161960764962,0.93571571026669
"PEV",2050,"SSP2-26",82648262,0.250458820509974,0.979360222722485
"PEV",2050,"SSP5-26",213929469,0.533076856935965,1.19103864061768
"PEV",2050,"SSP1-26",126439374,0.401036134825553,0.871901015043158
"PEV",2050,"SSP2-26",37269095,0.112940954223262,0.912569073018816
"PEV",2050,"SSP5-26",176590788,0.44003501814894,1.10981133850422
"PEV",2050,"SSP1-26",87376060,0.277136425526171,0.812322435314956
"PEV",2050,"SSP2-26",7461226,0.0226106374969327,0.850211528490156
"PEV",2050,"SSP5-26",134859307,0.336047087401061,1.03397583703053
"PEV",2050,"SSP1-26",44915911,0.142462768618862,0.756706381783638
"PEV",2050,"SSP2-26",7461226,0.0226106374969327,0.792001404751264
"PEV",2050,"SSP5-26",89833221,0.223849527259234,0.963184210101787
"PEV",2050,"SSP1-26",7126387,0.0226032334570586,0.704796629995113
"PEV",2050,"SSP2-26",7461226,0.0226106374969327,0.73767042865999
"PEV",2050,"SSP5-26",41512561,0.103442438438633,0.897110135962077
"PEV",2050,"SSP1-26",7126387,0.0226032334570586,0.656352957147825
"PEV",2050,"SSP2-26",7461226,0.0226106374969327,0.686967199679779
"PEV",2050,"SSP5-26",9115712,0.0227148472502977,0.835447932966977
"PEV",2050,"SSP1-26",7126387,0.0226032334570586,0.611150291099848
"PEV",2050,"SSP2-26",7461226,0.0226106374969327,0.639656147638544
"PEV",2050,"SSP5-26",9115712,0.0227148472502977,0.777911094741269
"PEV",2050,"SSP1-26",262051195,0.831164929444204,1.23946844754912
"PEV",2050,"SSP2-26",232022437,0.703125057435898,1.29728067904111
"PEV",2050,"SSP5-26",325331180,0.810671396048577,1.57767440581969
"PEV",2050,"SSP1-26",273306573,0.866864296400348,1.32924720383858
"PEV",2050,"SSP2-26",256348870,0.77684430119994,1.39124692700531
"PEV",2050,"SSP5-26",339420798,0.845780336890346,1.69195053001331
"PEV",2050,"SSP1-26",282376464,0.895631813387551,1.42533015555969
"PEV",2050,"SSP2-26",273750607,0.829578747543301,1.4918115415958
"PEV",2050,"SSP5-26",350715831,0.873925690240867,1.81425092573272
"PEV",2050,"SSP1-26",289479170,0.918159864321033,1.52814611176608
"PEV",2050,"SSP2-26",286236447,0.867416005737357,1.59942311182259
"PEV",2050,"SSP5-26",359931840,0.896890389294114,1.94512162737061
"PEV",2050,"SSP1-26",295089934,0.935955855860076,1.63815199301225
"PEV",2050,"SSP2-26",296180632,0.897551002254106,1.71455998734322
"PEV",2050,"SSP5-26",367331757,0.915329735675003,2.08514408297909
"PEV",2050,"SSP1-26",299762405,0.95077577142595,1.75583492003043
"PEV",2050,"SSP2-26",303981291,0.921190200807065,1.83773196446163
"PEV",2050,"SSP5-26",373697026,0.931190882535595,2.23493836250085
"PEV",2050,"SSP1-26",303561537,0.962825668678026,1.88171376590237
"PEV",2050,"SSP2-26",310197817,0.940028801145711,1.96948218206342
"PEV",2050,"SSP5-26",378904117,0.944166071450642,2.39516486882729
"PEV",2050,"SSP1-26",306811242,0.97313292710117,2.01634139993565
"PEV",2050,"SSP2-26",315195000,0.955172330216289,2.11038918489458
"PEV",2050,"SSP5-26",383380494,0.955320420704451,2.56652747384589
"PEV",2050,"SSP1-26",309649496,0.982135159158076,2.16030682855839
"PEV",2050,"SSP2-26",319362667,0.967802038134191,2.26106961318117
"PEV",2050,"SSP5-26",387171905,0.964767926163664,2.74977587842612
"PEV",2050,"SSP1-26",312146509,0.990055013736529,2.31423749704015
"PEV",2050,"SSP2-26",322898793,0.978517920913595,2.42217997322477
"PEV",2050,"SSP5-26",390468860,0.972983364861298,2.94570845028776
"PEV",2050,"SSP1-26",314262233,0.996765562186737,2.47880132781534
"PEV",2050,"SSP2-26",325980256,0.987855963258842,2.59441964145744
"PEV",2050,"SSP5-26",393366210,0.980203066282749,3.15517569385454
