"Year","Unit","Value","Scenario","Case"
2050,"kg CO2 eq",50610020673825.5,"SSP1","2018-2050 Baseline budget"
2050,"kg CO2 eq",61101763707418.1,"SSP1","Growing vehicle travel demand"
2050,"kg CO2 eq",56190414987295.1,"SSP1","CAFE"
2050,"kg CO2 eq",54077182236532.3,"SSP1","High weight control"
2050,"kg CO2 eq",48617795025688,"SSP1","EV30@30"
2050,"kg CO2 eq",44749300865592.1,"SSP1","EV30@30 with renewables"
2050,"kg CO2 eq",50615760361740.8,"SSP2","2018-2050 Baseline budget"
2050,"kg CO2 eq",62992448637624.8,"SSP2","Growing vehicle travel demand"
2050,"kg CO2 eq",57863160526940.2,"SSP2","CAFE"
2050,"kg CO2 eq",55656943609001.8,"SSP2","High weight control"
2050,"kg CO2 eq",50048843535057.9,"SSP2","EV30@30"
2050,"kg CO2 eq",45906109714098,"SSP2","EV30@30 with renewables"
2050,"kg CO2 eq",50615059890778.9,"SSP5","2018-2050 Baseline budget"
2050,"kg CO2 eq",70082122718878.5,"SSP5","Growing vehicle travel demand"
2050,"kg CO2 eq",64029635404979.2,"SSP5","CAFE"
2050,"kg CO2 eq",61423427394408.6,"SSP5","High weight control"
2050,"kg CO2 eq",54764157066699.8,"SSP5","EV30@30"
2050,"kg CO2 eq",49866800908605,"SSP5","EV30@30 with renewables"
2050,"kg CO2",31411490455403.7,"SSP1","2015-2050 Carbon budget"
2050,"kg CO2",31411490455403.7,"SSP2","2015-2050 Carbon budget"
2050,"kg CO2",31411490455403.7,"SSP5","2015-2050 Carbon budget"
