"Year","Unit","Value","Scenario","Case","delta"
2050,"kg CO2 eq",50610020673825.5,"SSP1","2018-2050 Baseline budget",50610020673825.5
2050,"kg CO2 eq",61101763707418.1,"SSP1","Growing vehicle travel demand",10491743033592.6
2050,"kg CO2 eq",60267998606209.4,"SSP1","SAFE",-833765101208.742
2050,"kg CO2 eq",53750592736381.4,"SSP1","EV30@30",-6517405869827.95
2050,"kg CO2 eq",49397680125169.2,"SSP1","EV30@30 with renewables",-10870318481040.1
2050,"kg CO2 eq",50615760361740.8,"SSP2","2018-2050 Baseline budget",50615760361740.8
2050,"kg CO2 eq",62992448637624.8,"SSP2","Growing vehicle travel demand",12376688275884
2050,"kg CO2 eq",62122531375003.9,"SSP2","SAFE",-869917262620.969
2050,"kg CO2 eq",55421041069989.1,"SSP2","EV30@30",-6701490305014.75
2050,"kg CO2 eq",50758232594852.9,"SSP2","EV30@30 with renewables",-11364298780151
2050,"kg CO2 eq",50615059890778.9,"SSP5","2018-2050 Baseline budget",50615059890778.9
2050,"kg CO2 eq",70082122718878.5,"SSP5","Growing vehicle travel demand",19467062828099.5
2050,"kg CO2 eq",69073422872968.2,"SSP5","SAFE",-1008699845910.32
2050,"kg CO2 eq",61070518252751.2,"SSP5","EV30@30",-8002904620216.97
2050,"kg CO2 eq",55532917787437.8,"SSP5","EV30@30 with renewables",-13540505085530.4
2050,"kg CO2",31411490455403.7,"SSP1","2015-2050 Carbon budget",31411490455403.7
2050,"kg CO2",31411490455403.7,"SSP2","2015-2050 Carbon budget",31411490455403.7
2050,"kg CO2",31411490455403.7,"SSP5","2015-2050 Carbon budget",31411490455403.7
