"Technology","Year","Scenario","Unit","Value"
"Biomass",2020,"SSP1-2.6","EJ",0.0820335
"Biomass (CCS)",2020,"SSP1-2.6","EJ",0
"Coal",2020,"SSP1-2.6","EJ",7.50318
"Coal (CCS)",2020,"SSP1-2.6","EJ",0
"Gas",2020,"SSP1-2.6","EJ",3.65022
"Gas (CCS)",2020,"SSP1-2.6","EJ",0
"Liquids",2020,"SSP1-2.6","EJ",0.0939689
"Liquids (CCS)",2020,"SSP1-2.6","EJ",0
"Nuclear",2020,"SSP1-2.6","EJ",3.029467
"Other renewable",2020,"SSP1-2.6","EJ",5.655552337682
"Biomass",2030,"SSP1-2.6","EJ",0.1227911
"Biomass (CCS)",2030,"SSP1-2.6","EJ",0.00620229
"Coal",2030,"SSP1-2.6","EJ",7.304471
"Coal (CCS)",2030,"SSP1-2.6","EJ",0.0335749
"Gas",2030,"SSP1-2.6","EJ",3.999134
"Gas (CCS)",2030,"SSP1-2.6","EJ",0.071666
"Liquids",2030,"SSP1-2.6","EJ",0.1042421
"Liquids (CCS)",2030,"SSP1-2.6","EJ",0.00529972
"Nuclear",2030,"SSP1-2.6","EJ",3.082175
"Other renewable",2030,"SSP1-2.6","EJ",7.435113454602
"Biomass",2040,"SSP1-2.6","EJ",0.1924318
"Biomass (CCS)",2040,"SSP1-2.6","EJ",0.0242693
"Coal",2040,"SSP1-2.6","EJ",6.46886
"Coal (CCS)",2040,"SSP1-2.6","EJ",0.1145333
"Gas",2040,"SSP1-2.6","EJ",4.127692
"Gas (CCS)",2040,"SSP1-2.6","EJ",0.220298
"Liquids",2040,"SSP1-2.6","EJ",0.1028512
"Liquids (CCS)",2040,"SSP1-2.6","EJ",0.0138688
"Nuclear",2040,"SSP1-2.6","EJ",3.19609
"Other renewable",2040,"SSP1-2.6","EJ",9.837458749802
"Biomass",2050,"SSP1-2.6","EJ",0.278398
"Biomass (CCS)",2050,"SSP1-2.6","EJ",0.0530995
"Coal",2050,"SSP1-2.6","EJ",5.261108
"Coal (CCS)",2050,"SSP1-2.6","EJ",0.216412
"Gas",2050,"SSP1-2.6","EJ",4.07736
"Gas (CCS)",2050,"SSP1-2.6","EJ",0.397251
"Liquids",2050,"SSP1-2.6","EJ",0.0898162
"Liquids (CCS)",2050,"SSP1-2.6","EJ",0.0203901
"Nuclear",2050,"SSP1-2.6","EJ",3.45325
"Other renewable",2050,"SSP1-2.6","EJ",12.68965492728
"Biomass",2020,"SSP2-2.6","EJ",0.0906519
"Biomass (CCS)",2020,"SSP2-2.6","EJ",0
"Coal",2020,"SSP2-2.6","EJ",8.20566
"Coal (CCS)",2020,"SSP2-2.6","EJ",0
"Gas",2020,"SSP2-2.6","EJ",4.11062
"Gas (CCS)",2020,"SSP2-2.6","EJ",0
"Liquids",2020,"SSP2-2.6","EJ",0.1015947
