"Year","Scenario","Value","Unit"
2015,"SSP1-2.6",0.544901093,"kg CO2/kWh"
2020,"SSP1-2.6",0.528907902,"kg CO2/kWh"
2025,"SSP1-2.6",0.497348938,"kg CO2/kWh"
2030,"SSP1-2.6",0.456680011,"kg CO2/kWh"
2035,"SSP1-2.6",0.40967132,"kg CO2/kWh"
2040,"SSP1-2.6",0.360769587,"kg CO2/kWh"
2045,"SSP1-2.6",0.311184054,"kg CO2/kWh"
2050,"SSP1-2.6",0.263001241,"kg CO2/kWh"
2015,"SSP2-2.6",0.554797401,"kg CO2/kWh"
2020,"SSP2-2.6",0.54496394,"kg CO2/kWh"
2025,"SSP2-2.6",0.523678154,"kg CO2/kWh"
2030,"SSP2-2.6",0.494728263,"kg CO2/kWh"
2035,"SSP2-2.6",0.462653576,"kg CO2/kWh"
2040,"SSP2-2.6",0.414117233,"kg CO2/kWh"
2045,"SSP2-2.6",0.356022368,"kg CO2/kWh"
2050,"SSP2-2.6",0.289564516,"kg CO2/kWh"
2015,"SSP5-2.6",0.555067403,"kg CO2/kWh"
2020,"SSP5-2.6",0.541996898,"kg CO2/kWh"
2025,"SSP5-2.6",0.515666346,"kg CO2/kWh"
2030,"SSP5-2.6",0.483942925,"kg CO2/kWh"
2035,"SSP5-2.6",0.45234942,"kg CO2/kWh"
2040,"SSP5-2.6",0.303027294,"kg CO2/kWh"
2045,"SSP5-2.6",0.179324668,"kg CO2/kWh"
2050,"SSP5-2.6",0.078244914,"kg CO2/kWh"
