"year","scenario","input","value","Unit"
2020,"SSP1-2.6","Natural gas",0.29120214,"EJ"
2030,"SSP1-2.6","Natural gas",0.82785675,"EJ"
2040,"SSP1-2.6","Natural gas",1.2346315,"EJ"
2050,"SSP1-2.6","Natural gas",1.48833051,"EJ"
2020,"SSP2-2.6","Natural gas",0.3490975,"EJ"
2030,"SSP2-2.6","Natural gas",1.03437319,"EJ"
2040,"SSP2-2.6","Natural gas",1.60225581,"EJ"
2050,"SSP2-2.6","Natural gas",2.00676087,"EJ"
2020,"SSP5-2.6","Natural gas",0.338325,"EJ"
2030,"SSP5-2.6","Natural gas",0.9994358,"EJ"
2040,"SSP5-2.6","Natural gas",1.56221301,"EJ"
2050,"SSP5-2.6","Natural gas",2.02969457,"EJ"
2020,"SSP1-2.6","Electricity",0.032998124,"EJ"
2030,"SSP1-2.6","Electricity",0.1451448202,"EJ"
2040,"SSP1-2.6","Electricity",0.284236677,"EJ"
2050,"SSP1-2.6","Electricity",0.45680477,"EJ"
2020,"SSP2-2.6","Electricity",0.033105781,"EJ"
2030,"SSP2-2.6","Electricity",0.1479187391,"EJ"
2040,"SSP2-2.6","Electricity",0.299336822,"EJ"
2050,"SSP2-2.6","Electricity",0.50928477,"EJ"
2020,"SSP5-2.6","Electricity",0.032334434,"EJ"
2030,"SSP5-2.6","Electricity",0.1456839075,"EJ"
2040,"SSP5-2.6","Electricity",0.307985774,"EJ"
2050,"SSP5-2.6","Electricity",0.5761879,"EJ"
2020,"SSP1-2.6","Hydrogen",0.00977318,"EJ"
2030,"SSP1-2.6","Hydrogen",0.060283315,"EJ"
2040,"SSP1-2.6","Hydrogen",0.126091017,"EJ"
2050,"SSP1-2.6","Hydrogen",0.200812613,"EJ"
2020,"SSP2-2.6","Hydrogen",0.01143783,"EJ"
2030,"SSP2-2.6","Hydrogen",0.07111569,"EJ"
2040,"SSP2-2.6","Hydrogen",0.15241038,"EJ"
2050,"SSP2-2.6","Hydrogen",0.25238826,"EJ"
2020,"SSP5-2.6","Hydrogen",0.01127205,"EJ"
2030,"SSP5-2.6","Hydrogen",0.0711287,"EJ"
2040,"SSP5-2.6","Hydrogen",0.164421411,"EJ"
2050,"SSP5-2.6","Hydrogen",0.31704353,"EJ"
2020,"SSP1-2.6","Refined liquids",13.24465872,"EJ"
2030,"SSP1-2.6","Refined liquids",11.31599673,"EJ"
2040,"SSP1-2.6","Refined liquids",9.7440753,"EJ"
2050,"SSP1-2.6","Refined liquids",8.5216879,"EJ"
2020,"SSP2-2.6","Refined liquids",13.90079502,"EJ"
2030,"SSP2-2.6","Refined liquids",12.72156263,"EJ"
2040,"SSP2-2.6","Refined liquids",11.5790972,"EJ"
2050,"SSP2-2.6","Refined liquids",10.4949649,"EJ"
2020,"SSP5-2.6","Refined liquids",13.96819312,"EJ"
2030,"SSP5-2.6","Refined liquids",13.01202603,"EJ"
2040,"SSP5-2.6","Refined liquids",12.0821516,"EJ"
2050,"SSP5-2.6","Refined liquids",11.2025325,"EJ"
