"Component","Weight","Relative","Size","Technology","Unit","y_min","y_max"
"Glider",1052.68474483502,0.65877914616219,"Car","ICEV-G","kg",1052.68474483502,1176.9352030917
"Powertrain",371.251017994343,0.232332072680019,"Car","ICEV-G","kg",371.251017994343,218.915389690626
"Transmission",78.9513553366161,0.0494084356329824,"Car","ICEV-G","kg",78.9513553366161,82.0705654617503
"Battery Lead-Acid",16.32932532,0.0102190319034215,"Car","ICEV-G","kg",16.32932532,18.8999775231637
"Fluids",42.4288746622579,0.0265523538360057,"Car","ICEV-G","kg",42.4288746622579,41.6002530369984
"Wheels",36.2873896,0.0227089597853812,"Car","ICEV-G","kg",36.2873896,59.511318944
"Total",1597.93270774824,1,"Car","ICEV-G","kg",1597.93270774824,1597.93270774824
"Glider",953.003060478273,0.594312830547676,"Car","BEV100","kg",953.003060478273,1190.1029485121
"Powertrain",59.7971654658441,0.0372907749623578,"Car","BEV100","kg",59.7971654658441,46.8901384764813
"Transmission",71.4752299724807,0.0445734625633551,"Car","BEV100","kg",71.4752299724807,70.8394604862464
"Battery Lead-Acid",10.024391377,0.00625142212113432,"Car","BEV100","kg",10.024391377,16.32932532
"EV Battery",284.539320953177,0.177444728407199,"Car","BEV100","kg",269.172932349291,300.751879719878
"Traction Motor",89.5822875502322,0.0558654059874639,"Car","BEV100","kg",89.5822875502322,108.620506781367
"Electronic Controller",73.6000072949447,0.0458985185649206,"Car","BEV100","kg",73.6000072949447,88.8105528173385
"Fluids",25.2288996396841,0.0157332745069456,"Car","BEV100","kg",25.2288996396841,33.974068513
"Wheels",36.2873896,0.0226295823389478,"Car","BEV100","kg",36.2873896,54.4310844
"Total",1603.53775233164,1,"Car","BEV100","kg",1588.17136372775,1910.74996502641
"Glider",954.090295420048,0.488738586803321,"Car","BEV300","kg",954.090295420048,1192.31151115408
"Powertrain",58.1203535040682,0.0297725064099744,"Car","BEV300","kg",58.1203535040682,44.073971851771
"Transmission",71.556772763771,0.0366553943213255,"Car","BEV300","kg",71.556772763771,70.9709234683692
"Battery Lead-Acid",10.024391377,0.0051350557684914,"Car","BEV300","kg",10.024391377,16.32932532
"EV Battery",602.150097917443,0.308455068993325,"Car","BEV300","kg",451.127819579817,751.879699299694
"Traction Motor",119.261287087313,0.0610923234322773,"Car","BEV300","kg",119.261287087313,158.028589589569
"Electronic Controller",75.4290051198053,0.0386389690191785,"Car","BEV300","kg",75.4290051198053,91.8785491687177
"Fluids",25.2288996396841,0.0129236580810975,"Car","BEV300","kg",25.2288996396841,33.974068513
"Wheels",36.2873896,0.0185884371710096,"Car","BEV300","kg",36.2873896,54.4310844
"Total",1952.14849242913,1,"Car","BEV300","kg",1801.12621409151,2413.8777227652
"Glider",944.86266094646,0.65433780098773,"Car","FFV","kg",944.86266094646,1280.53524871354
"Powertrain",333.225333094565,0.230765740570266,"Car","FFV","kg",333.225333094565,238.185477202405
"Transmission",70.864699098851,0.0490753347471172,"Car","FFV","kg",70.864699098851,89.2948496056114
"Battery Lead-Acid",16.32932532,0.011308410484545,"Car","FFV","kg",16.32932532,18.8999775231637
